periodo_parlamentario,periodo_anual,legislatura,fecha,titulo,url,filename,paginas,provisional
2021-2026,2021-2022,Primera Legislatura Ordinaria,2022-02-28,"Asistencias y votaciones de la sesión del 28-02-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/382A2B3794256920052587F9006F8789/$FILE/Asis_vot_OFICIAL_28-02-22.pdf,Asis_vot_OFICIAL_28-02-22.pdf,13,false
2021-2026,2021-2022,Primera Legislatura Ordinaria,2022-02-02,"Asistencias y votaciones de la sesión del 02-02-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/04E0B1A815D8B9F5052587DD00668A3A/$FILE/Asis_vot_OFICIAL_2-02-22.pdf,Asis_vot_OFICIAL_2-02-22.pdf,43,false
2021-2026,2021-2022,Primera Legislatura Ordinaria,2022-02-01,"Asistencias y votaciones de la sesión del 01-02-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/EF799D313620C96C052587DD00027894/$FILE/Asis_vot_OFICIAL_1-02-22.pdf,Asis_vot_OFICIAL_1-02-22.pdf,22,false
2021-2026,2021-2022,Primera Legislatura Ordinaria,2022-01-31,"Asistencias y votaciones de la sesión del 31-01-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/CE4D3E61BBBD3DAA052587DE00741E21/$FILE/Asis_vot_OFICIAL_31-01-22.pdf,Asis_vot_OFICIAL_31-01-22.pdf,28,false
2021-2026,2021-2022,Primera Legislatura Ordinaria,2022-01-21,"Asistencias y votaciones de la sesión del 21-01-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/10890BE36A1C9711052587DB00706320/$FILE/Asis_vot_OFICIAL_21-01-22.pdf,Asis_vot_OFICIAL_21-01-22.pdf,33,false
2021-2026,2021-2022,Primera Legislatura Ordinaria,2022-01-13,"Asistencias y votaciones de la sesión del 13-01-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/1301E580ECD7F2D8052587D000541778/$FILE/Asis_vot_OFICIAL_13-01-2022.pdf,Asis_vot_OFICIAL_13-01-2022.pdf,43,false
2021-2026,2021-2022,Primera Legislatura Ordinaria,2022-01-12,"Asistencias y votaciones de la sesión del 12-01-2022",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/F7C734009F8665A7052587D0005236BC/$FILE/Asis_vot_OFICIAL_12-01-2022.pdf,Asis_vot_OFICIAL_12-01-2022.pdf,27,false
2021-2026,2021-2022,Primera Legislatura Ordinaria,2021-12-21,"Asistencias y votaciones de la sesión del 21-12-2021",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/339B4FA590DB4A57052587B30062BDED/$FILE/Asis_vot_OFICIAL_21-12-21.pdf,Asis_vot_OFICIAL_21-12-21.pdf,7,false
2021-2026,2021-2022,Primera Legislatura Ordinaria,2021-12-17,"Asistencias y votaciones de la sesión del 17-12-2021",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/49B6BC3EA180A988052587B3006312A8/$FILE/Asis_vot_OFICIAL_17-12-21.pdf,Asis_vot_OFICIAL_17-12-21.pdf,44,false
2021-2026,2021-2022,Primera Legislatura Ordinaria,2021-12-16,"Asistencias y votaciones de la sesión del 16-12-2021",https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/0E8FA912FD5064D8052587B30062EA0C/$FILE/Asis_vot_OFICIAL_16-12-2021.pdf,Asis_vot_OFICIAL_16-12-2021.pdf,19,false
